帐户 ACCOUNT
高手 ACE
行为 ACT
行动 ACTION
演员 ACTOR
添加 ADDITION
广告 ADVERTISEMENT
建议 ADVICE
非洲 AFRICA
下午 AFTERNOON
年龄 AGE
代理人 AGENT
协议 AGREEMENT
空气 AIR
飞机 AIRPLANE
飞机场 AIRPORT
警报 ALARM
阿拉斯加州 ALASKA
外星人 ALIEN
胡同 ALLEY
阿尔卑斯山 ALPS
亚马逊 AMAZON
救护车 AMBULANCE
美国 AMERICA
娱乐 AMUSEMENT
锚 ANCHOR
天使 ANGEL
愤怒 ANGER
角度 ANGLE
动物 ANIMAL
蚂蚁 ANT
南极洲 ANTARCTICA
国歌 ANTHEM
设备 APPARATUS
苹果 APPLE
器具 APPLIANCE
赞同 APPROVAL
围裙 APRON
弧 ARC
拱 ARCH
争论 ARGUMENT
算术 ARITHMETIC
手臂 ARM
盔甲 ARMOR
军队 ARMY
艺术 ART
亚瑟 ARTHUR
灰 ASH
宇航员 ASTRONAUT
亚特兰蒂斯 ATLANTIS
攻击 ATTACK
注意力 ATTENTION
阁楼 ATTIC
吸引力 ATTRACTION
澳大利亚 AUSTRALIA
权威 AUTHORITY
雪崩 AVALANCHE
斧头 AXE
阿兹台克 AZTEC
婴儿 BABY
后退 BACK
熏肉 BACON
徽章 BADGE
包 BAG
饵 BAIT
平衡 BALANCE
球 BALL
气球 BALLOON
香蕉 BANANA
乐队 BAND
砰 BANG
银行 BANK
酒吧 BAR
烧烤 BARBECUE
吠 BARK
根据 BASE
篮子 BASKET
低音 BASS
蝙蝠 BAT
洗澡 BATH
电池 BATTERY
战斗 BATTLE
战舰 BATTLESHIP
湾 BAY
海滩 BEACH
珠子 BEAD
光束 BEAM
豆 BEAN
熊 BEAR
胡须 BEARD
兽 BEAST
打 BEAT
床 BED
卧室 BEDROOM
蜜蜂 BEE
牛肉 BEEF
啤酒 BEER
乞丐 BEGGAR
初学者 BEGINNER
行为 BEHAVIOR
北京 BEIJING
信仰 BELIEF
钟 BELL
腰带 BELT
本 BEN
长椅 BENCH
柏林 BERLIN
百慕大 BERMUDA
浆果 BERRY
自行车 BICYCLE
大的 BIG
比基尼 BIKINI
账单 BILL
鸟 BIRD
出生 BIRTH
生日 BIRTHDAY
饼干 BISCUIT
少量 BIT
咬 BITE
铁匠 BLACKSMITH
刀刃 BLADE
瞎的 BLIND
暴风雪 BLIZZARD
堵塞 BLOCK
血 BLOOD
吹 BLOW
布鲁斯 BLUES
木板 BOARD
船 BOAT
身体 BODY
熬 BOIL
螺栓 BOLT
炸弹 BOMB
纽带 BOND
骨 BONE
书 BOOK
繁荣 BOOM
引导 BOOT
边界 BORDER
老板 BOSS
瓶子 BOTTLE
边界 BOUNDARY
弓 BOW
碗 BOWL
投球手 BOWLER
盒子 BOX
拳击手 BOXER
脑 BRAIN
制动 BRAKE
分支 BRANCH
黄铜 BRASS
巴西 BRAZIL
面包 BREAD
休息 BREAK
早餐 BREAKFAST
气息 BREATH
砖 BRICK
新娘 BRIDE
桥 BRIDGE
兄弟 BROTHER
刷子 BRUSH
气泡 BUBBLE
巴克 BUCK
桶 BUCKET
水牛 BUFFALO
漏洞 BUG
号角 BUGLE
建筑 BUILDING
电灯泡 BULB
公牛 BULL
包子 BUN
假寐 BUNK
烧伤 BURN
衬套 BUSH
商业 BUSINESS
黄油 BUTTER
蝴蝶 BUTTERFLY
按钮 BUTTON
卷心菜 CABBAGE
电缆 CABLE
仙人掌 CACTUS
凯撒 CAESAR
蛋糕 CAKE
计算器 CALCULATOR
日历 CALENDAR
小牛 CALF
相机 CAMERA
营 CAMP
能 CAN
加拿大 CANADA
甘蔗 CANE
大炮 CANNON
帆布 CANVAS
帽 CAP
首都 CAPITAL
队长 CAPTAIN
标题 CAPTION
车 CAR
